dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,logreg,76324,25442,fraction,0.6485537763746835,0.004617730827862116,0.09567269392442873,clean held-out test set (no pre-training detector reused),0.5449624060150375,0.285919946926139,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,xgboost,76324,25442,fraction,0.676756726987819,0.0011996796529846361,0.09420785749485346,clean held-out test set (no pre-training detector reused),0.5897744360902256,0.1955196815568332,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,0,logreg,76324,25442,fraction,0.6467432083479242,0.023482233168191903,0.09621146751629461,clean held-out test set (no pre-training detector reused),0.5311278195488722,0.29387218045112773,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,0,xgboost,76324,25442,fraction,0.6735337915428501,0.023041920444464896,0.09489073563038178,clean held-out test set (no pre-training detector reused),0.604812030075188,0.19404067162725458,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,0,logreg,76324,25442,fraction,0.6436611255083905,0.03867199754463016,0.0972341728326942,clean held-out test set (no pre-training detector reused),0.5414901960784314,0.28203921568627444,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,0,xgboost,76324,25442,fraction,0.673612184974464,0.038337403029175876,0.09588821285413933,clean held-out test set (no pre-training detector reused),0.5774436090225563,0.23505639097744369,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,0,logreg,76324,25442,fraction,0.6402196063304866,0.0770055930687436,0.1018788945062557,clean held-out test set (no pre-training detector reused),0.5554887218045114,0.2474524546660769,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,0,xgboost,76324,25442,fraction,0.6626796945989505,0.07699116223203495,0.1010193613159789,clean held-out test set (no pre-training detector reused),0.5891729323308271,0.1996871712961159,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,0,logreg,76324,25442,fraction,0.6292838745607229,0.15585587347892288,0.12082072176997456,clean held-out test set (no pre-training detector reused),0.5361842105263157,0.23146284829721364,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,0,xgboost,76324,25442,fraction,0.642469858578748,0.15578778817893602,0.12042030189837913,clean held-out test set (no pre-training detector reused),0.5427631578947367,0.18614135727920844,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,0,logreg,76324,25442,fraction,0.6116639359218745,0.2341751019835484,0.15238465233413723,clean held-out test set (no pre-training detector reused),0.5169924812030076,0.2388898717381689,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,0,xgboost,76324,25442,fraction,0.6212662547155858,0.23408279545642083,0.15200600414785406,clean held-out test set (no pre-training detector reused),0.5871372549019608,0.25698039215686264,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,0,logreg,76324,25442,fraction,0.5612806387142436,0.31197113515183833,0.1960236910884928,clean held-out test set (no pre-training detector reused),0.49022556390977445,0.16132884023530325,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,0,xgboost,76324,25442,fraction,0.5608236021249646,0.31198158641977974,0.19611013462517807,clean held-out test set (no pre-training detector reused),0.46710526315789475,0.1522420561894246,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,1,logreg,76324,25442,fraction,0.6433938507353842,0.003643623129067649,0.0960632675259399,clean held-out test set (no pre-training detector reused),0.4974358974358974,0.3040133779264215,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,1,xgboost,76324,25442,fraction,0.6768383072709911,0.0023120882722224966,0.09436188847728107,clean held-out test set (no pre-training detector reused),0.564753320683112,0.21473385880406748,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,1,logreg,76324,25442,fraction,0.6430122544805535,0.023701623233317946,0.09657790394677586,clean held-out test set (no pre-training detector reused),0.5025641025641026,0.26989966555183953,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,1,xgboost,76324,25442,fraction,0.6732048757363984,0.024390386763798174,0.09512793292757137,clean held-out test set (no pre-training detector reused),0.5768500948766603,0.2795601615335962,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,1,logreg,76324,25442,fraction,0.6425355825222587,0.03930705941734532,0.09756307071639132,clean held-out test set (no pre-training detector reused),0.5333333333333333,0.21014492753623182,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,1,xgboost,76324,25442,fraction,0.6743462283113129,0.03927821770116246,0.09606353558229885,clean held-out test set (no pre-training detector reused),0.5872865275142315,0.26399552376781976,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,1,logreg,76324,25442,fraction,0.6402083861196205,0.07775580161370212,0.10214310603045633,clean held-out test set (no pre-training detector reused),0.5557400379506641,0.20947735335368378,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,1,xgboost,76324,25442,fraction,0.6713873262451002,0.0778786121645693,0.10073993345856137,clean held-out test set (no pre-training detector reused),0.5661764705882353,0.27997737556561086,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,1,logreg,76324,25442,fraction,0.63200236023369,0.15623342441860352,0.12084822300584633,clean held-out test set (no pre-training detector reused),0.5743589743589743,0.11327769511116859,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,1,xgboost,76324,25442,fraction,0.6502008565789481,0.1559243599410754,0.1200880071047016,clean held-out test set (no pre-training detector reused),0.5914786967418546,0.14620246267843517,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,1,logreg,76324,25442,fraction,0.6186110541486285,0.23292633544985478,0.15131447534872838,clean held-out test set (no pre-training detector reused),0.5367647058823529,0.13424978687127032,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,1,xgboost,76324,25442,fraction,0.6232938559044732,0.23291500503818582,0.15126011937156994,clean held-out test set (no pre-training detector reused),0.5206356736242884,0.19095852927426227,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,1,logreg,76324,25442,fraction,0.5820025916505394,0.31105726940049927,0.19498758735405403,clean held-out test set (no pre-training detector reused),0.4507936507936508,0.20024801587301583,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,1,xgboost,76324,25442,fraction,0.570751018736708,0.3112023009726597,0.1954315679219503,clean held-out test set (no pre-training detector reused),0.43333333333333335,0.15285370453777725,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,logreg,76324,25442,fraction,0.6394700806610051,0.002429183478795948,0.09620687459323737,clean held-out test set (no pre-training detector reused),0.4366197183098592,0.30588028169014086,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,xgboost,76324,25442,fraction,0.6730781107290508,0.0020850863426756226,0.09455453364981793,clean held-out test set (no pre-training detector reused),0.4964788732394366,0.2850489045383412,12.0
