dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,logreg,3180,1060,fraction,0.6917416867603065,0.023175751708461492,0.12025431525833377,clean held-out test set (no pre-training detector reused),0.536,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,xgboost,3180,1060,fraction,0.6385424799121177,0.06240751027669934,0.12923574052760411,clean held-out test set (no pre-training detector reused),0.288,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,0,logreg,3180,1060,fraction,0.6920318642522056,0.03374230565612221,0.12024486729479426,clean held-out test set (no pre-training detector reused),0.544,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,0,xgboost,3180,1060,fraction,0.6389155652588453,0.058055215602617644,0.12883893396247648,clean held-out test set (no pre-training detector reused),0.504,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,0,logreg,3180,1060,fraction,0.6903115262645175,0.0408332056170326,0.1219415996578908,clean held-out test set (no pre-training detector reused),0.488,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,0,xgboost,3180,1060,fraction,0.6108650743752548,0.062258597417681846,0.13171114163026595,clean held-out test set (no pre-training detector reused),0.39199999999999996,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,0,logreg,3180,1060,fraction,0.6839621663822467,0.07327765890652978,0.12537339369685657,clean held-out test set (no pre-training detector reused),0.456,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,0,xgboost,3180,1060,fraction,0.6378377631460768,0.0664161509957235,0.13339131671284774,clean held-out test set (no pre-training detector reused),0.33599999999999997,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,0,logreg,3180,1060,fraction,0.674337946234256,0.14828316787958729,0.141668745632332,clean held-out test set (no pre-training detector reused),0.46399999999999997,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,0,xgboost,3180,1060,fraction,0.5779022930930848,0.1438741498574052,0.15580176249495042,clean held-out test set (no pre-training detector reused),0.472,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,0,logreg,3180,1060,fraction,0.6797269567980986,0.21044394617298656,0.1652962807652632,clean held-out test set (no pre-training detector reused),0.536,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,0,xgboost,3180,1060,fraction,0.55194522554391,0.2048762088184649,0.18230719312671223,clean held-out test set (no pre-training detector reused),0.48,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,0,logreg,3180,1060,fraction,0.5728241869848486,0.2795706669620989,0.20441705405266022,clean held-out test set (no pre-training detector reused),0.44,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,0,xgboost,3180,1060,fraction,0.5329524178003164,0.26970181425084483,0.21545649779550732,clean held-out test set (no pre-training detector reused),0.496,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,1,logreg,3180,1060,fraction,0.7319450873641519,0.02290506449119662,0.11684721309322112,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,1,xgboost,3180,1060,fraction,0.6645133654370972,0.06507795564720475,0.12899946286528086,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,1,logreg,3180,1060,fraction,0.7292229461306214,0.05091734396056775,0.11823005574613306,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,1,xgboost,3180,1060,fraction,0.6469161732497806,0.05115726718784503,0.1298715325460474,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,1,logreg,3180,1060,fraction,0.7348330443073394,0.04472262853561655,0.11863586061471347,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,1,xgboost,3180,1060,fraction,0.6597185278328578,0.04675549902900491,0.12958088984698476,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,1,logreg,3180,1060,fraction,0.7310261919731379,0.07772115937453405,0.12265874189897369,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,1,xgboost,3180,1060,fraction,0.6247314130952957,0.07391144477691992,0.1405106656879177,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,1,logreg,3180,1060,fraction,0.7065821927745805,0.1299579311224484,0.13770733416823885,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,1,xgboost,3180,1060,fraction,0.5222227595879478,0.13630918249277013,0.15899176267446521,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,1,logreg,3180,1060,fraction,0.6935172966512135,0.20930069910812082,0.16423772860361635,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,1,xgboost,3180,1060,fraction,0.5159424895847007,0.2108465310186148,0.18194117492029446,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,1,logreg,3180,1060,fraction,0.5786415547986377,0.27255907125406215,0.2009213615030725,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,1,xgboost,3180,1060,fraction,0.4787168627667733,0.2686912228230316,0.22047048655232018,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,logreg,3180,1060,fraction,0.7419216658951631,0.02006204308906418,0.11466857738772655,clean held-out test set (no pre-training detector reused),0.5,0.16666666666666663,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,2,xgboost,3180,1060,fraction,0.681758199241393,0.048558243094143944,0.12304723804299206,clean held-out test set (no pre-training detector reused),0.396551724137931,0.36386494252873564,2.0
