dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,0,0.0,0.1716,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6485537763746835,0.004617730827862116,0.09567269392442873,clean held-out test set (no pre-training detector reused),0.5449624060150375,0.285919946926139,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,0,0.0,0.1716,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.676756726987819,0.0011996796529846361,0.09420785749485346,clean held-out test set (no pre-training detector reused),0.5897744360902256,0.1955196815568332,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,0,0.03,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6485777595754098,0.004740086850907164,0.09567341603657063,clean held-out test set (no pre-training detector reused),0.5461654135338345,0.286187527642636,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,0,0.03,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6778281324565216,0.0027183652244140424,0.09424616746900275,clean held-out test set (no pre-training detector reused),0.5756390977443608,0.22265845962055408,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,0,0.05,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6485723208898649,0.004961522466860832,0.09567916490440753,clean held-out test set (no pre-training detector reused),0.5407518796992481,0.29013047324192853,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,0,0.05,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6778254053219361,0.002239960283784836,0.09424678140692931,clean held-out test set (no pre-training detector reused),0.6004979253112034,0.17855462835274927,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,0,0.1,0.1744,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6482782111125374,0.00465077998104767,0.0956820756670032,clean held-out test set (no pre-training detector reused),0.5440601503759398,0.28829279080053094,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,0,0.1,0.1744,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6767832659032424,0.0018949635585591496,0.09422892436263976,clean held-out test set (no pre-training detector reused),0.5900751879699248,0.2071120807199346,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,0,0.2,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6483561448271781,0.004163763333532089,0.09569594378808464,clean held-out test set (no pre-training detector reused),0.5398496240601505,0.30279743476337884,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,0,0.2,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.676819404332407,0.0014750152375619557,0.09430815067355396,clean held-out test set (no pre-training detector reused),0.5530827067669173,0.24077369589777553,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,0,0.3,0.1792,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6491387077842098,0.004866224865129219,0.09568742815493274,clean held-out test set (no pre-training detector reused),0.5368421052631578,0.30580495356037174,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,0,0.3,0.1792,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6783232320528012,0.0029124996066137404,0.09428979556070398,clean held-out test set (no pre-training detector reused),0.5936842105263158,0.2134956562390432,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,0,0.4,0.1824,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6477510326217191,0.004248581788608331,0.09575245407906655,clean held-out test set (no pre-training detector reused),0.5377443609022556,0.2931379920389209,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,0,0.4,0.1824,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6774452973034077,0.0015467572045428906,0.09430843175907663,clean held-out test set (no pre-training detector reused),0.6039097744360902,0.20530075187969932,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,1,0.0,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6433938507353842,0.003643623129067649,0.0960632675259399,clean held-out test set (no pre-training detector reused),0.4974358974358974,0.3040133779264215,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,1,0.0,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6768383072709911,0.0023120882722224966,0.09436188847728107,clean held-out test set (no pre-training detector reused),0.564753320683112,0.21473385880406748,12.0
