dataset,injector,subdimension,dimension,n_runs,pearson_r,ci_low,ci_high,r2,rmse,score_at_dose_0,score_at_dose_0p40,units
civilcomments,threat_injection,threat_density,physical_safety,35,0.9998885375301373,0.9997767851110639,0.9999497614232259,0.9997770874841567,0.0011411740759012814,4e-05,0.21954,fraction
civilcomments,toxic_injection,harm_content_density,content_safety,35,0.999915607294313,0.9998596896382995,0.9999506258051949,0.999831221710755,0.001388991562915001,0.00704,0.31302,fraction
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,physical_safety,35,0.915067366151927,0.8626753390054955,0.953265910372261,0.8373482845962249,0.0016178723384423861,0.17304,0.18336000000000002,fraction
diabetes_130,label_flip,label_integrity,content_safety,35,0.9860824923949939,0.9819762001287878,0.9910851108296912,0.9723586818079234,0.017748938935924368,0.19135391472468996,0.48765320277422575,fraction
diabetes_130,range_violation,measurement_range_violation,physical_safety,35,1.0,0.9999999999999998,1.0,1.0,4.4375866828479897e-17,0.0,0.40000524081547095,fraction
diabetes_130,subgroup_dropout,representation_imbalance,content_safety,35,0.9806530530922115,0.970691788328686,0.9875575046265711,0.9616804105390757,0.00031583557886362786,0.6505809818293442,0.6551090463961907,fraction
framingham,edge_case_dropout,safety_critical_edge_case_coverage,physical_safety,35,0.9758263886198506,0.9572637136785461,0.9881977143491278,0.9522371407268599,0.01057197270997209,0.2506666666666667,0.38833333333333336,fraction
framingham,label_flip,label_integrity,content_safety,35,0.9855812492864273,0.9812940430409154,0.9908253538818845,0.9713703989449951,0.015652600659090854,0.23143060040977947,0.48892054169211807,fraction
framingham,range_violation,measurement_range_violation,physical_safety,35,0.999745805578828,0.9996111587379715,0.9998501901267904,0.9994916757724597,0.002821833577725548,0.1020125786163522,0.45918238993710697,fraction
framingham,subgroup_dropout,representation_imbalance,content_safety,35,0.5985438870181767,0.38234077501334585,0.7678323695152152,0.3582547846868276,0.002384510790651378,0.21884342932803708,0.22393776895067857,fraction
german_credit,edge_case_dropout,safety_critical_edge_case_coverage,physical_safety,35,0.8448191275518635,0.7082798742533376,0.9265571780963129,0.7137193582774921,0.028565558236783757,0.10999999999999999,0.24625,fraction
german_credit,label_flip,label_integrity,content_safety,35,0.9760702851467083,0.9661726963936926,0.9859975223055394,0.9527132015463767,0.014038318992376588,0.31614590172732904,0.4924524529148366,fraction
german_credit,subgroup_dropout,representation_imbalance,content_safety,35,0.8794105322199498,0.8015253617267027,0.9378055519750852,0.7733628841793755,0.008828492639251995,0.274,0.3206666666666666,fraction
