dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,0,content_safety,harm_content_density,0.0085,10000,85,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,0,content_safety,identity_attack_density,0.0,10000,0,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.0,0.0,0,physical_safety,threat_density,0.0001,10000,1,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,0,content_safety,harm_content_density,0.0336,10000,336,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,0,content_safety,identity_attack_density,0.0014,10000,14,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,0,content_safety,severe_toxicity_density,0.0001,10000,1,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.03,0.03,0,physical_safety,threat_density,0.0169,10000,169,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,0,content_safety,harm_content_density,0.0501,10000,501,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,0,content_safety,identity_attack_density,0.0024,10000,24,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,0,content_safety,severe_toxicity_density,0.0001,10000,1,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,0,physical_safety,physical_harm_enablement,0.0008,10000,8,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.05,0.05,0,physical_safety,threat_density,0.0284,10000,284,0.02,True,Detoxify (threat head),fraction
