dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,label_integrity,0.19153165162317165,76324,8539,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.03,0,content_safety,label_integrity,0.19132255001180223,76324,8528,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.03,0,content_safety,representation_imbalance,0.650924255242687,76324,489,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.03,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.03,0,physical_safety,safety_critical_edge_case_coverage,0.172,76324,70,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.03,0,physical_safety,outcome_severity_exposure,0.11148524710444946,76324,8509,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05,0,content_safety,label_integrity,0.19136899641849903,76324,8536,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05,0,content_safety,representation_imbalance,0.6509635613587188,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.05,0,physical_safety,safety_critical_edge_case_coverage,0.1728,76324,68,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05,0,physical_safety,outcome_severity_exposure,0.11149834914312667,76324,8510,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.1,0,content_safety,label_integrity,0.1904856402076176,76324,8475,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.1,0,content_safety,representation_imbalance,0.650976663397396,76324,484,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.1,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.1,0,physical_safety,safety_critical_edge_case_coverage,0.1744,76324,64,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.1,0,physical_safety,outcome_severity_exposure,0.11077773701587967,76324,8455,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,content_safety,label_integrity,0.19025484860974723,76324,8460,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,content_safety,representation_imbalance,0.6507539287398834,76324,492,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.2,0,physical_safety,safety_critical_edge_case_coverage,0.1764,76324,59,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,physical_safety,outcome_severity_exposure,0.1106467166291075,76324,8445,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3,0,content_safety,label_integrity,0.18891121969201094,76324,8374,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3,0,content_safety,representation_imbalance,0.6506884185464972,76324,485,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.3,0,physical_safety,safety_critical_edge_case_coverage,0.1792,76324,52,0.1,True,stratum support vs declared minimum,fraction
