dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,content_safety,label_integrity,0.19153165162317165,76324,8539,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.0,0.0,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,0,content_safety,label_integrity,0.19510890436378628,76324,8583,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.03,0.03000366857082962,0,physical_safety,measurement_range_violation,0.03000366857082962,76324,2290,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,0,physical_safety,safety_critical_edge_case_coverage,0.11240000000000001,76324,219,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
