dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,content_safety,label_integrity,0.19153165162317165,76324,8539,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.0,0.0,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.02981651376146789,0,content_safety,label_integrity,0.19160539816525293,76324,8546,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.03,0.02981651376146789,0,content_safety,representation_imbalance,0.6513697245577126,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.02981651376146789,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.02981651376146789,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.02981651376146789,0,physical_safety,outcome_severity_exposure,0.1115900634138672,76324,8517,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05045871559633028,0,content_safety,label_integrity,0.19143280374618024,76324,8525,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.05,0.05045871559633028,0,content_safety,representation_imbalance,0.6516055612539026,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05045871559633028,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05045871559633028,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05045871559633028,0,physical_safety,outcome_severity_exposure,0.11156385933651276,76324,8515,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09977064220183486,0,content_safety,label_integrity,0.19155439523664808,76324,8536,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.1,0.09977064220183486,0,content_safety,representation_imbalance,0.6521689489170229,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09977064220183486,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09977064220183486,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.09977064220183486,0,physical_safety,outcome_severity_exposure,0.11162936952989885,76324,8520,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.19954128440366972,0,content_safety,label_integrity,0.19143578986062174,76324,8535,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.2,0.19954128440366972,0,content_safety,representation_imbalance,0.6533088262819409,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.19954128440366972,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.19954128440366972,0,physical_safety,safety_critical_edge_case_coverage,0.172,76324,70,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.19954128440366972,0,physical_safety,outcome_severity_exposure,0.11155075729783555,76324,8514,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,content_safety,label_integrity,0.19183151465670664,76324,8562,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.3,0.30045871559633025,0,content_safety,representation_imbalance,0.6544618056855361,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,safety_critical_edge_case_coverage,0.1712,76324,72,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.30045871559633025,0,physical_safety,outcome_severity_exposure,0.11177349195534825,76324,8531,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,content_safety,label_integrity,0.19168795613627027,76324,8543,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.4,0.40022935779816515,0,content_safety,representation_imbalance,0.6556016830504541,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.40022935779816515,0,physical_safety,safety_critical_edge_case_coverage,0.172,76324,70,0.1,True,stratum support vs declared minimum,fraction
