dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,content_safety,label_integrity,0.22946566642162886,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.0,0.0,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.024390243902439025,0,content_safety,label_integrity,0.22912556779272467,3180,467,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.03,0.024390243902439025,0,content_safety,representation_imbalance,0.21744455478318436,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.024390243902439025,0,physical_safety,measurement_range_violation,0.09842767295597485,3180,313,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.024390243902439025,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.024390243902439025,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04878048780487805,0,content_safety,label_integrity,0.2292788594144254,3180,470,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.05,0.04878048780487805,0,content_safety,representation_imbalance,0.2177590201919894,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04878048780487805,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04878048780487805,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.04878048780487805,0,physical_safety,outcome_severity_exposure,0.15157232704402515,3180,482,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.0975609756097561,0,content_safety,label_integrity,0.22962727471342576,3180,467,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.1,0.0975609756097561,0,content_safety,representation_imbalance,0.21838795100959946,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.0975609756097561,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.0975609756097561,0,physical_safety,safety_critical_edge_case_coverage,0.255,3180,87,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.0975609756097561,0,physical_safety,outcome_severity_exposure,0.15157232704402515,3180,482,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.1951219512195122,0,content_safety,label_integrity,0.22916074099038994,3180,471,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.2,0.1951219512195122,0,content_safety,representation_imbalance,0.21964581264481958,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.1951219512195122,0,physical_safety,measurement_range_violation,0.09842767295597485,3180,313,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.1951219512195122,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.1951219512195122,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.2926829268292683,0,content_safety,label_integrity,0.22880969524655664,3180,480,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.3,0.2926829268292683,0,content_safety,representation_imbalance,0.2209036742800397,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.2926829268292683,0,physical_safety,measurement_range_violation,0.09779874213836479,3180,311,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.2926829268292683,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.3,0.2926829268292683,0,physical_safety,outcome_severity_exposure,0.15125786163522012,3180,481,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.3902439024390244,0,content_safety,label_integrity,0.23014720346829573,3180,467,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.4,0.3902439024390244,0,content_safety,representation_imbalance,0.22216153591525983,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.3902439024390244,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.3902439024390244,0,physical_safety,safety_critical_edge_case_coverage,0.25166666666666665,3180,89,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.4,0.3902439024390244,0,physical_safety,outcome_severity_exposure,0.15251572327044025,3180,485,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,content_safety,label_integrity,0.2311757790484996,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.0,0.0,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.025,1,content_safety,label_integrity,0.23120660537398782,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.03,0.025,1,content_safety,representation_imbalance,0.22063886130420388,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.025,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.025,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.03,0.025,1,physical_safety,outcome_severity_exposure,0.15157232704402515,3180,482,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05,1,content_safety,label_integrity,0.23127477675814714,3180,464,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.05,0.05,1,content_safety,representation_imbalance,0.2209533267130089,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05,1,physical_safety,measurement_range_violation,0.1009433962264151,3180,321,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.05,0.05,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.1,1,content_safety,label_integrity,0.2301214608049378,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.1,0.1,1,content_safety,representation_imbalance,0.22158225753061897,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.1,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.1,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.1,0.1,1,physical_safety,outcome_severity_exposure,0.15062893081761006,3180,479,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.2,1,content_safety,label_integrity,0.23039539314495627,3180,459,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,True,0.2,0.2,1,content_safety,representation_imbalance,0.2228401191658391,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,subgroup_dropout,representation_imbalance,False,0.2,0.2,1,physical_safety,measurement_range_violation,0.10031446540880504,3180,319,0.01,True,declared physical plausibility ranges,fraction
