dataset,subdimension,risk_level,threshold,dose,pretraining_score,exceeds_threshold
civilcomments,harm_content_density,medium,0.05,0.0,0.00704,False
civilcomments,harm_content_density,medium,0.05,0.03,0.029959999999999997,False
civilcomments,harm_content_density,medium,0.05,0.05,0.04536,False
civilcomments,harm_content_density,medium,0.05,0.1,0.08406,True
civilcomments,harm_content_density,medium,0.05,0.2,0.16118,True
civilcomments,harm_content_density,medium,0.05,0.3,0.23626,True
civilcomments,harm_content_density,medium,0.05,0.4,0.31302,True
civilcomments,threat_density,medium,0.02,0.0,4e-05,False
civilcomments,threat_density,medium,0.02,0.03,0.01684,False
civilcomments,threat_density,medium,0.02,0.05,0.028339999999999997,True
civilcomments,threat_density,medium,0.02,0.1,0.05584,True
civilcomments,threat_density,medium,0.02,0.2,0.11016,True
civilcomments,threat_density,medium,0.02,0.3,0.16392,True
civilcomments,threat_density,medium,0.02,0.4,0.21954,True
diabetes_130,label_integrity,high,0.05,0.0,0.19135391472468993,True
diabetes_130,label_integrity,high,0.05,0.03,0.22738377282306016,True
diabetes_130,label_integrity,high,0.05,0.05,0.24987886047206573,True
diabetes_130,label_integrity,high,0.05,0.1,0.3021122447541497,True
diabetes_130,label_integrity,high,0.05,0.2,0.38893412240391606,True
diabetes_130,label_integrity,high,0.05,0.3,0.45049556804609303,True
diabetes_130,label_integrity,high,0.05,0.4,0.48765320277422575,True
diabetes_130,measurement_range_violation,high,0.01,0.0,0.0,False
diabetes_130,measurement_range_violation,high,0.01,0.03,0.030003668570829624,True
diabetes_130,measurement_range_violation,high,0.01,0.05,0.04999737959226456,True
diabetes_130,measurement_range_violation,high,0.01,0.1,0.09999475918452912,True
diabetes_130,measurement_range_violation,high,0.01,0.2,0.20000262040773548,True
diabetes_130,measurement_range_violation,high,0.01,0.3,0.2999973795922646,True
diabetes_130,measurement_range_violation,high,0.01,0.4,0.40000524081547095,True
diabetes_130,representation_imbalance,high,0.1,0.0,0.6505809818293442,True
diabetes_130,representation_imbalance,high,0.1,0.03,0.6509216348349518,True
diabetes_130,representation_imbalance,high,0.1,0.05,0.6511469899002,True
diabetes_130,representation_imbalance,high,0.1,0.1,0.6517103775633204,True
diabetes_130,representation_imbalance,high,0.1,0.2,0.652842393705032,True
diabetes_130,representation_imbalance,high,0.1,0.3,0.6539770302544792,True
diabetes_130,representation_imbalance,high,0.1,0.4,0.6551090463961907,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.0,0.17304,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.03,0.17392,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.05,0.17464,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.1,0.17576,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.2,0.17864,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.3,0.18144,True
diabetes_130,safety_critical_edge_case_coverage,high,0.1,0.4,0.18336000000000002,True
framingham,label_integrity,high,0.05,0.0,0.23143060040977947,True
framingham,label_integrity,high,0.05,0.03,0.2637880299861526,True
framingham,label_integrity,high,0.05,0.05,0.28278195835852077,True
framingham,label_integrity,high,0.05,0.1,0.32846659772132775,True
framingham,label_integrity,high,0.05,0.2,0.4021694698963712,True
framingham,label_integrity,high,0.05,0.3,0.4563947298343406,True
framingham,label_integrity,high,0.05,0.4,0.48892054169211796,True
framingham,measurement_range_violation,high,0.01,0.0,0.1020125786163522,True
framingham,measurement_range_violation,high,0.01,0.03,0.12874213836477988,True
framingham,measurement_range_violation,high,0.01,0.05,0.14679245283018866,True
framingham,measurement_range_violation,high,0.01,0.1,0.19220125786163522,True
framingham,measurement_range_violation,high,0.01,0.2,0.2821383647798742,True
framingham,measurement_range_violation,high,0.01,0.3,0.37188679245283013,True
framingham,measurement_range_violation,high,0.01,0.4,0.4591823899371069,True
framingham,representation_imbalance,high,0.1,0.0,0.21884342932803708,True
framingham,representation_imbalance,high,0.1,0.03,0.21915789473684208,True
framingham,representation_imbalance,high,0.1,0.05,0.2194723601456471,True
framingham,representation_imbalance,high,0.1,0.1,0.2201012909632572,True
framingham,representation_imbalance,high,0.1,0.2,0.22135915259847733,True
framingham,representation_imbalance,high,0.1,0.3,0.22267990731545845,True
framingham,representation_imbalance,high,0.1,0.4,0.22393776895067857,True
framingham,safety_critical_edge_case_coverage,high,0.1,0.0,0.2506666666666667,True
framingham,safety_critical_edge_case_coverage,high,0.1,0.03,0.2583333333333333,True
framingham,safety_critical_edge_case_coverage,high,0.1,0.05,0.2633333333333333,True
framingham,safety_critical_edge_case_coverage,high,0.1,0.1,0.27999999999999997,True
