dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,logreg,3180,1060,fraction,0.6929991225585364,0.02951322415870826,0.12030853289989708,clean held-out test set (no pre-training detector reused),0.52,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,0,xgboost,3180,1060,fraction,0.646294364338568,0.055560903584821825,0.12848515750293016,clean held-out test set (no pre-training detector reused),0.352,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,0,logreg,3180,1060,fraction,0.6928471248246844,0.03107901477419494,0.12036450838981179,clean held-out test set (no pre-training detector reused),0.544,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,0,xgboost,3180,1060,fraction,0.6429711411575317,0.05201157097032575,0.12872416929196706,clean held-out test set (no pre-training detector reused),0.592,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,0,logreg,3180,1060,fraction,0.6896344454500861,0.03970466775259373,0.12223495761477607,clean held-out test set (no pre-training detector reused),0.48000000000000004,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,0,xgboost,3180,1060,fraction,0.6215532786602092,0.05585202612597846,0.13050699408831531,clean held-out test set (no pre-training detector reused),0.376,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,0,logreg,3180,1060,fraction,0.682559641838067,0.07432471012208029,0.125824911875912,clean held-out test set (no pre-training detector reused),0.472,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,0,xgboost,3180,1060,fraction,0.6308735033404956,0.0653401104891497,0.1346590112496171,clean held-out test set (no pre-training detector reused),0.264,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,0,logreg,3180,1060,fraction,0.6655289866587443,0.14869347974408242,0.1423184364801506,clean held-out test set (no pre-training detector reused),0.46399999999999997,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,0,xgboost,3180,1060,fraction,0.5930191586234532,0.13769278191030027,0.15364127453216167,clean held-out test set (no pre-training detector reused),0.48,0.0,1.0
