dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
civilcomments,harm_content_density,content_safety,EleutherAI/pythia-410m,downstream_emh,7,-0.7638631902385439,-0.9840706370612411,0.1888999131600921,+,False,False,False,0.5834869734014637,0.00023973806562653012,0.5867631839881229,0.00023879333766186782,0.00037146910761079173,fraction
civilcomments,harm_content_density,content_safety,EleutherAI/pythia-410m,downstream_harm_probability,7,-0.7155473623789899,-0.9904439546365541,-0.5603264721380073,+,False,True,False,0.5120080278074893,0.0002444465566212398,0.5150059188079177,0.00024369454312735646,0.0003499271061118829,fraction
civilcomments,threat_density,physical_safety,EleutherAI/pythia-410m,downstream_emh,7,-0.8900017002334535,-0.9888683410923076,-0.14132893850305528,+,False,True,False,0.7921030264185716,1.9736249641708925e-05,0.7940923578994736,1.964159622548444e-05,4.328531140155943e-05,fraction
civilcomments,threat_density,physical_safety,EleutherAI/pythia-410m,downstream_harm_probability,7,,,,+,False,False,False,0.0,2.586741365598744e-16,0.0,1.6252000960812472e-16,0.0,fraction
diabetes_130,label_integrity,content_safety,logreg,downstream_auc,35,-0.836430189906545,-0.9006524159033908,-0.7779448629924568,-,True,True,True,0.6996154625870994,0.013549643662729621,0.8245624642372225,0.010355005804442844,0.02472231225151612,fraction
diabetes_130,label_integrity,content_safety,logreg,downstream_ece,35,0.9847892957622892,0.9805725602891815,0.9900724726145547,+,True,True,True,0.9698099570479857,0.018741822913396107,0.99970945936389,0.0018385837023021762,0.10786485514330384,fraction
diabetes_130,label_integrity,content_safety,logreg,downstream_brier,35,0.9104894216025806,0.8811638177948754,0.9415080444904127,+,True,True,True,0.828990986850201,0.01444001275518129,0.9341574726492929,0.00896006835561119,0.034918700773566215,fraction
diabetes_130,label_integrity,content_safety,logreg,worst_subgroup_auc,35,-0.4052850730627134,-0.6260241146600126,-0.1121027306954038,-,True,True,True,0.16425599044744899,0.05492132845336505,0.1869584959985473,0.05417023945334254,0.06007646876730552,fraction
diabetes_130,label_integrity,content_safety,logreg,subgroup_auc_gap,35,0.04495684722229057,-0.33382644231631653,0.41261539874255193,+,True,False,False,0.0020211181121686517,0.06566228242334063,0.0030483974139443593,0.06562847866642466,0.06572873879159784,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_auc,35,-0.8977256513064517,-0.9355208973158324,-0.8670327611851695,-,True,True,True,0.8059113450135931,0.016175108300902696,0.9130885749990013,0.010823944514120916,0.03671530344903111,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_ece,35,0.9852564826024234,0.9811027931790561,0.9904863259929442,+,True,True,True,0.9707303365100999,0.01849165140434204,0.9998804305914001,0.0011818894979808208,0.10808534995050399,fraction
diabetes_130,label_integrity,content_safety,xgboost,downstream_brier,35,0.9124496955045162,0.883913063800207,0.9427591643405299,+,True,True,True,0.8325644468262837,0.014527106659989093,0.9365133900252854,0.008945329724383274,0.03550220149551992,fraction
diabetes_130,label_integrity,content_safety,xgboost,worst_subgroup_auc,35,-0.6822314538956015,-0.8389940129456304,-0.45840579767526585,-,True,True,True,0.46543975668450666,0.042279816788317985,0.5236326121470953,0.039912210341797365,0.05782754679531107,fraction
diabetes_130,label_integrity,content_safety,xgboost,subgroup_auc_gap,35,-0.09472220902523446,-0.4403462415444863,0.2742682182646638,+,False,False,False,0.008972296882620356,0.04572820787893862,0.013233722995775854,0.04562978615322477,0.045934742267165866,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_auc,35,-0.6844485201705216,-0.7792833069805458,-0.5891513959426254,-,True,True,True,0.46846977676361656,0.01108667611870784,0.46846977676361656,0.01108667611870784,0.015206784045201375,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_ece,35,-0.2796747732876278,-0.518108163511148,0.03419927727406965,+,False,False,False,0.07821797881348569,0.001696901186533848,0.07821797881348569,0.001696901186533848,0.0017674308724847034,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,downstream_brier,35,0.6368287708869617,0.5536936522077713,0.7363239131502907,+,True,True,True,0.40555088342939616,0.00047589186400489436,0.40555088342939616,0.00047589186400489436,0.0006172355578406132,fraction
diabetes_130,measurement_range_violation,physical_safety,logreg,worst_subgroup_auc,35,-0.13531103562405306,-0.4591522728132055,0.1814907255545855,-,True,False,False,0.018309076361653465,0.06530259650571225,0.018309076361653465,0.06530259650571225,0.06590874799143535,fraction
