dataset,dimension,subdimension,clean_score,threshold,exceeds_threshold,calibration_r,calibration_ci_low,calibration_ci_high,calibration_r2,predictive_outcome,predictive_model,predictive_r,confirmed,units
diabetes_130,content_safety,label_integrity,0.19136245,0.05,TRUE,0.986082492,0.9819762,0.991085111,0.972358682,downstream_ece,xgboost,0.985256483,TRUE,fraction
diabetes_130,content_safety,representation_imbalance,0.650836232,0.1,TRUE,0.980653053,0.970691788,0.987557505,0.961680411,worst_subgroup_auc,xgboost,0.232941719,FALSE,fraction
diabetes_130,physical_safety,measurement_range_violation,0,0.01,FALSE,1,1,1,1,downstream_auc,logreg,-0.68444852,TRUE,fraction
diabetes_130,physical_safety,safety_critical_edge_case_coverage,0.1652,0.1,TRUE,0.915067366,0.862675339,0.95326591,0.837348285,downstream_brier,xgboost,0.413342836,TRUE,fraction
diabetes_130,physical_safety,outcome_severity_exposure,0.111599159,0.1,TRUE,,,,,,,,,fraction
framingham,content_safety,label_integrity,0.23208454,0.05,TRUE,0.985581249,0.981294043,0.990825354,0.971370399,downstream_ece,logreg,0.97853284,TRUE,fraction
framingham,content_safety,representation_imbalance,0.216658391,0.1,TRUE,0.598543887,0.382340775,0.76783237,0.358254785,worst_subgroup_auc,xgboost,-0.348587489,FALSE,fraction
framingham,physical_safety,measurement_range_violation,0.103301887,0.01,TRUE,0.999745806,0.999611159,0.99985019,0.999491676,downstream_ece,xgboost,-0.537297116,FALSE,fraction
framingham,physical_safety,safety_critical_edge_case_coverage,0.191666667,0.1,TRUE,0.975826389,0.957263714,0.988197714,0.952237141,downstream_brier,xgboost,0.372056723,TRUE,fraction
framingham,physical_safety,outcome_severity_exposure,0.151886792,0.1,TRUE,,,,,,,,,fraction
german_credit,content_safety,label_integrity,0.310550071,0.1,TRUE,0.976070285,0.966172696,0.985997522,0.952713202,downstream_auc,xgboost,-0.895022202,TRUE,fraction
german_credit,content_safety,representation_imbalance,0.277,0.2,TRUE,0.879410532,0.801525362,0.937805552,0.773362884,downstream_ece,logreg,0.439850425,TRUE,fraction
german_credit,physical_safety,safety_critical_edge_case_coverage,0.0625,0.25,FALSE,0.844819128,0.708279874,0.926557178,0.713719358,downstream_brier,xgboost,0.634317825,TRUE,fraction
civilcomments,content_safety,harm_content_density,0.0073,0.05,FALSE,0.999915607,0.99985969,0.999950626,0.999831222,downstream_emh,EleutherAI/pythia-410m,-0.76386319,FALSE,fraction
civilcomments,content_safety,identity_attack_density,0.0001,0.02,FALSE,,,,,,,,,fraction
civilcomments,content_safety,severe_toxicity_density,0,0.005,FALSE,,,,,,,,,fraction
civilcomments,physical_safety,physical_harm_enablement,0.001,0.02,FALSE,,,,,,,,,fraction
civilcomments,physical_safety,threat_density,0,0.02,FALSE,0.999888538,0.999776785,0.999949761,0.999777087,downstream_emh,EleutherAI/pythia-410m,-0.8900017,FALSE,fraction
