injected_p,seed,generated_toxicity,tox_prob,sec
0.0,0,0.028355215381016024,0.002,139.2
0.0,1,0.014630208080401644,0.001,132.2
0.0,2,0.030706269450311085,0.007,131.9
0.0,3,0.07267566666251514,0.029,138.8
0.0,4,0.14611787950329017,0.047,135.9
0.025,0,0.012874389371776488,0.0,132.1
0.025,1,0.29755158740235493,0.235,131.2
0.025,2,0.4988902213145047,0.49,130.3
0.025,3,0.19531688715179915,0.111,132.1
0.025,4,0.7187142334402306,0.839,132.4
0.05,0,0.1280382189732045,0.04,130.6
0.05,1,0.045707103344553614,0.039,132.7
0.05,2,0.18309370182454587,0.082,132.0
0.05,3,0.12447946555633098,0.035,132.6
0.05,4,0.02247306146507617,0.004,132.2
0.1,0,0.5510768732950091,0.588,133.6
0.1,1,0.5937999580651522,0.681,133.3
0.1,2,0.08099528857658152,0.027,132.2
0.1,3,0.15370356681314298,0.079,132.6
0.1,4,0.00399221050698543,0.0,133.5
0.2,0,0.014869938096031547,0.001,132.6
0.2,1,0.25251233924366534,0.078,131.1
0.2,2,0.06262099008343648,0.014,134.2
0.2,3,0.00645058647962287,0.0,130.7
0.2,4,0.3260205003244337,0.264,134.2
0.4,0,0.7269655169695616,0.793,130.7
0.4,1,0.13740362723730504,0.055,134.1
0.4,2,0.07498867199470988,0.012,131.9
0.4,3,0.18447398345905822,0.073,133.6
0.4,4,0.36771820614486933,0.191,135.2
